speed_packs_per_min,seal_temp_c,humidity_pct,pressure_bar,downtime_min_per_hr,line_id,predicted_defect
109.5630767,67.71950782,48.12738584,4.483183356,1.959740363,PACK-L1,1.6646817
107.0908559,65.62617538,50.76877571,4.3340034,3.248652482,PACK-L1,1.376299937
110.7048462,65.8321705,47.32124236,4.210525515,2.280171734,PACK-L1,1.588452757
109.5502503,66.37517545,52.36702954,4.252213122,5.029490096,PACK-L1,1.616934797
111.121656,65.98094353,49.74176232,4.316000279,4.018705507,PACK-L1,1.633610697
109.1671552,67.24323279,53.5658253,4.301503396,5.470361534,PACK-L1,1.680682002
109.5380538,65.80412867,63.40617619,4.241223371,1.529263677,PACK-L1,1.589481278
107.4262001,66.45826307,63.79097019,4.272466011,2.92660261,PACK-L1,1.545077872
108.5339071,65.96187382,46.53228787,4.110967313,3.170521988,PACK-L1,1.502061983
109.4674984,65.92224425,60.17368857,4.302620254,4.77955118,PACK-L1,1.596701061
108.1273861,66.74608638,57.28106783,4.399995788,1.560875607,PACK-L1,1.547921742
110.5583837,65.99331043,48.71191272,4.145241734,4.460496932,PACK-L1,1.630308419
107.1950758,67.77023754,51.67431822,4.453031924,6.053301179,PACK-L1,1.59476247
107.0545874,67.53946357,51.18871191,4.298671716,3.713329048,PACK-L1,1.569392958
108.7986281,66.68568393,58.01955543,4.280831402,1.887378818,PACK-L1,1.604109887
110.3354561,65.767276,59.53930293,4.051343774,2.520989167,PACK-L1,1.649114216
107.2931563,67.99679073,59.64381749,4.521307246,4.553357635,PACK-L1,1.637731601
107.4777212,67.0277392,52.76652505,4.213604157,2.706121688,PACK-L1,1.556888306
110.9087019,66.10454824,51.34531054,4.122927677,2.147679292,PACK-L1,1.658395169
107.0638471,66.72806855,55.84326092,4.173102198,4.254826114,PACK-L1,1.539188958
108.3551926,66.40179528,56.93700093,3.997571648,3.994563465,PACK-L1,1.60988275
107.3748755,66.2519342,62.56960528,4.332608275,3.737046767,PACK-L1,1.513119014
110.6566374,66.38881618,57.79194592,4.451750371,5.383524941,PACK-L1,1.675149463
107.8780149,68.09999536,48.85526679,4.519780102,2.236191091,PACK-L1,1.609278218
108.4380613,67.66185774,60.01357515,4.453241884,2.967213591,PACK-L1,1.668330094
110.1758999,65.65139775,50.52686186,4.46589486,2.853055832,PACK-L1,1.520910658
112.3371276,66.12083321,48.63197455,4.451161734,4.74156136,PACK-L1,1.691497027
107.1337361,66.23076684,51.12736786,4.479660814,5.06324519,PACK-L1,1.428939799
109.225913,66.50006365,61.63118407,4.144008295,1.629364253,PACK-L1,1.647248328
111.0894011,65.97451944,57.10692669,4.175192867,4.361694879,PACK-L1,1.692497782
107.244343,66.46314001,50.99066126,4.158015711,4.324005171,PACK-L1,1.503019944
107.8669227,65.90265184,58.87673797,3.972198412,4.940255639,PACK-L1,1.556309593
108.6005423,66.67081551,61.14655056,3.974214608,4.926108406,PACK-L1,1.680541053
108.8250627,68.55948826,46.12336502,4.513157718,4.646454464,PACK-L1,1.711544085
110.935025,66.63505804,50.3193943,4.210362491,2.548407257,PACK-L1,1.694717767
108.3475777,67.13819019,60.53610374,4.14665993,3.989212099,PACK-L1,1.673391244
107.8934597,67.6581259,47.7044792,4.330764159,3.164243105,PACK-L1,1.600027652
107.7373887,66.2890603,57.53127973,4.115568823,1.350129374,PACK-L1,1.52854798
